Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Low,412,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,418,C++
printf('Hello'),printf('Hello');,NameError,Medium,460,C
console.log('Hello'),console.log('Hello');,IndentationError,Low,419,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,229,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Critical,472,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,High,203,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,436,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,194,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,84,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,314,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,392,Java
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Medium,97,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,415,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,51,Python
printf('Hello'),printf('Hello');,IndexError,Low,469,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,390,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,481,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,415,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Low,399,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,358,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,290,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,470,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,228,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,50,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Medium,104,Java
printf('Hello'),printf('Hello');,IndentationError,Critical,201,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Low,56,Python
printf('Hello'),printf('Hello');,TypeError,Medium,362,C
printf('Hello'),printf('Hello');,IndexError,Critical,263,C
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,314,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,124,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,119,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,420,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,222,Python
console.log('Hello'),console.log('Hello');,NameError,Critical,73,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,High,102,Python
printf('Hello'),printf('Hello');,IndexError,Medium,385,C
printf('Hello'),printf('Hello');,AttributeError,Critical,272,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,155,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,399,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,111,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndexError,Critical,195,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",TypeError,Medium,458,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,409,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,147,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Critical,319,Python
console.log('Hello'),console.log('Hello');,TypeError,Critical,211,JavaScript
console.log('Hello'),console.log('Hello');,IndentationError,Medium,414,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,122,Python
console.log('Hello'),console.log('Hello');,LogicalError,Critical,371,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,High,363,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Low,375,JavaScript
console.log('Hello'),console.log('Hello');,TypeError,Medium,357,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,453,Java
printf('Hello'),printf('Hello');,TypeError,High,488,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,281,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Low,198,Python
console.log('Hello'),console.log('Hello');,NameError,Critical,184,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Low,100,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Low,245,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,367,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,480,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,419,Python
printf('Hello'),printf('Hello');,TypeError,Critical,369,C
printf('Hello'),printf('Hello');,IndentationError,Low,137,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,229,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,310,C++
console.log('Hello'),console.log('Hello');,NameError,Low,165,JavaScript
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,412,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Critical,78,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,52,C++
console.log('Hello'),console.log('Hello');,LogicalError,High,230,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Low,429,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,324,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,128,Python
console.log('Hello'),console.log('Hello');,IndexError,Critical,442,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,81,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,183,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Low,221,Python
printf('Hello'),printf('Hello');,LogicalError,Low,206,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,High,247,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Critical,433,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,199,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,367,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Low,248,Python
printf('Hello'),printf('Hello');,AttributeError,Low,374,C
console.log('Hello'),console.log('Hello');,AttributeError,Critical,406,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Low,430,Python
printf('Hello'),printf('Hello');,TypeError,Medium,410,C
console.log('Hello'),console.log('Hello');,TypeError,Medium,274,JavaScript
for i in range(10) print(i),for i in range(10): print(i),NameError,High,80,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,282,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Critical,263,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Medium,270,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,238,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,71,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,High,491,Python
printf('Hello'),printf('Hello');,TypeError,Critical,381,C
console.log('Hello'),console.log('Hello');,SyntaxError,High,292,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Medium,209,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Critical,456,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,193,C++
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,296,Python
printf('Hello'),printf('Hello');,SyntaxError,High,307,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,170,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Medium,265,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Low,112,Python
printf('Hello'),printf('Hello');,IndexError,High,394,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,143,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,84,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,167,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,290,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,207,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,351,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,419,Java
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,335,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,High,259,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,194,C++
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Low,366,Python
console.log('Hello'),console.log('Hello');,AttributeError,Medium,465,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Critical,490,Python
console.log('Hello'),console.log('Hello');,SyntaxError,High,230,JavaScript
printf('Hello'),printf('Hello');,LogicalError,Low,314,C
console.log('Hello'),console.log('Hello');,LogicalError,Critical,271,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Medium,432,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Medium,280,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,High,288,Python
printf('Hello'),printf('Hello');,SyntaxError,Medium,56,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,69,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,358,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,173,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,328,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Medium,314,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Low,215,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Low,334,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Medium,247,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,392,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,51,Python
printf('Hello'),printf('Hello');,IndexError,Critical,322,C
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,194,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Medium,486,C++
console.log('Hello'),console.log('Hello');,IndentationError,Low,470,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,183,C++
console.log('Hello'),console.log('Hello');,AttributeError,Critical,406,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,162,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,186,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,Low,264,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,286,Python
printf('Hello'),printf('Hello');,LogicalError,Medium,474,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Low,380,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Medium,73,Java
printf('Hello'),printf('Hello');,NameError,Low,486,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Critical,258,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,488,C++
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Medium,253,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,215,Python
console.log('Hello'),console.log('Hello');,NameError,Critical,303,JavaScript
printf('Hello'),printf('Hello');,TypeError,Critical,401,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Low,128,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Critical,67,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,High,287,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Medium,301,Python
console.log('Hello'),console.log('Hello');,IndentationError,Low,387,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,112,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,High,61,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Low,209,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,High,293,Java
console.log('Hello'),console.log('Hello');,NameError,High,379,JavaScript
console.log('Hello'),console.log('Hello');,NameError,Medium,231,JavaScript
printf('Hello'),printf('Hello');,IndentationError,Critical,481,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,351,C++
for i in range(10) print(i),for i in range(10): print(i),IndexError,Medium,497,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,237,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Low,195,Python
console.log('Hello'),console.log('Hello');,LogicalError,High,167,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,482,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Low,422,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,359,Python
printf('Hello'),printf('Hello');,AttributeError,High,263,C
console.log('Hello'),console.log('Hello');,LogicalError,High,492,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,316,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,176,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,112,Python
console.log('Hello'),console.log('Hello');,IndexError,High,50,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,446,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,287,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,191,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,400,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Medium,424,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,317,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Low,225,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,460,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,210,Java
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,400,Python
printf('Hello'),printf('Hello');,TypeError,Medium,441,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Medium,359,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,High,149,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,Critical,246,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Medium,212,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,151,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,366,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Critical,58,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,High,253,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Medium,64,Python
printf('Hello'),printf('Hello');,TypeError,High,267,C
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Low,171,Python
printf('Hello'),printf('Hello');,IndentationError,Medium,70,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,162,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Medium,72,Python
console.log('Hello'),console.log('Hello');,NameError,Critical,255,JavaScript
printf('Hello'),printf('Hello');,SyntaxError,Low,469,C
printf('Hello'),printf('Hello');,LogicalError,Low,403,C
console.log('Hello'),console.log('Hello');,NameError,Low,374,JavaScript
printf('Hello'),printf('Hello');,IndexError,High,157,C
console.log('Hello'),console.log('Hello');,TypeError,Critical,108,JavaScript
console.log('Hello'),console.log('Hello');,NameError,High,62,JavaScript
for i in range(10) print(i),for i in range(10): print(i),IndentationError,Critical,435,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Low,308,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Critical,228,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,High,124,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,Critical,334,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Critical,342,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,Critical,104,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Critical,58,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Low,318,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,196,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,121,Java
printf('Hello'),printf('Hello');,NameError,High,300,C
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,62,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,212,C++
for i in range(10) print(i),for i in range(10): print(i),IndexError,Medium,233,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Medium,130,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,85,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,High,295,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,499,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,Low,435,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,360,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,431,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,240,Java
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Medium,353,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,High,172,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,197,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,256,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Medium,459,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,206,Python
